timestamp,v0,v1,X,Y,Z,result
1,43643.02334,43645.84108,-11093.18389,-18804.66496,37994.28709,1
1,43643.07075,43645.88976,-11094.14344,-18803.4343,37994.62684,1
1,43643.11726,43645.93527,-11095.13687,-18801.70946,37995.18487,1
1,43643.16329,43645.97779,-11095.96959,-18799.4163,37996.08044,1
1,43643.20938,43646.01859,-11096.51142,-18796.52607,37997.38502,1
1,43643.25592,43646.05962,-11096.73346,-18793.08661,37999.0875,1
1,43643.30297,43646.1028,-11096.69597,-18789.27806,38001.06998,1
1,43643.35042,43646.14907,-11096.50328,-18785.43785,38003.11549,1
1,43643.39829,43646.19799,-11096.25521,-18782.01611,38004.95419,1
1,43643.44672,43646.24787,-11096.02028,-18779.44207,38006.34679,1
1,43643.49587,43646.29651,-11095.83488,-18777.95116,38007.17356,1
1,43643.54558,43646.34236,-11095.71623,-18777.44522,38007.49526,1
1,43643.59521,43646.38539,-11095.6727,-18777.4932,38007.54088,1
1,43643.64389,43646.42751,-11095.70209,-18777.49055,38007.62034,1
1,43643.69085,43646.47186,-11095.78289,-18776.911,38007.99773,1
1,43643.73588,43646.52118,-11095.87266,-18775.51719,38008.78924,1
1,43643.7797,43646.57626,-11095.92243,-18773.40356,38009.94434,1
1,43643.82366,43646.63521,-11095.9072,-18770.85882,38011.31181,1
1,43643.86904,43646.69403,-11095.84847,-18768.14065,38012.74954,1
1,43643.91644,43646.74843,-11095.81299,-18765.30814,38014.20782,1
1,43643.96548,43646.79584,-11095.87978,-18762.22507,38015.73552,1
1,43644.01499,43646.8366,-11096.08998,-18758.73306,38017.40675,1
1,43644.06368,43646.87362,-11096.40476,-18754.88153,38019.21718,1
1,43644.11078,43646.9111,-11096.69529,-18751.0574,38021.02201,1
1,43644.15652,43646.95247,-11096.7729,-18747.8832,38022.57758,1
1,43644.20185,43646.99912,-11096.44498,-18745.916,38023.67224,1
1,43644.24806,43647.05028,-11095.57194,-18745.29597,38024.28181,1
1,43644.29596,43647.10385,-11094.10318,-18745.55477,38024.65199,1
1,43644.34564,43647.15767,-11092.08362,-18745.71327,38025.24728,1
1,43644.39656,43647.21046,-11089.63705,-18744.66988,38026.56612,1
1,43644.44781,43647.2618,-11086.94347,-18741.72599,38028.8904,1
1,43644.49863,43647.31188,-11084.21542,-18736.97682,38032.10229,1
1,43644.54867,43647.3608,-11081.67343,-18731.35567,38035.67132,1
1,43644.59802,43647.40829,-11079.51367,-18726.27004,38038.8435,1
1,43644.64712,43647.45414,-11077.86777,-18722.98676,38040.95672,1
1,43644.69645,43647.49856,-11076.76036,-18722.06167,38041.73381,1
1,43644.74637,43647.54246,-11076.08974,-18723.12255,38041.39493,1
1,43644.79698,43647.58721,-11075.64874,-18725.12182,38040.52647,1
1,43644.84821,43647.63421,-11075.19601,-18726.92467,38039.7695,1
1,43644.89982,43647.68429,-11074.55725,-18727.90241,38039.49556,1
1,43644.9515,43647.73724,-11073.7164,-18728.20319,38039.64473,1
1,43645.0029,43647.79187,-11072.85353,-18728.54719,38039.81286,1
1,43645.0536,43647.84646,-11072.30092,-18729.67421,38039.53554,1
1,43645.10316,43647.89932,-11072.42787,-18731.75942,38038.6095,1
1,43645.15128,43647.94948,-11073.49654,-18734.12938,38037.27661,1
1,43645.19785,43647.99723,-11075.54417,-18735.45825,38036.16499,1
1,43645.24309,43648.04395,-11078.34179,-18734.35342,38036.01603,1
1,43645.28756,43648.09149,-11081.44526,-18730.06442,38037.32175,1
1,43645.33212,43648.14133,-11084.32299,-18722.96718,38040.04925,1
1,43645.37776,43648.19381,-11086.51412,-18714.60367,38043.57431,1
1,43645.4254,43648.24784,-11087.7643,-18707.24176,38046.8578,1
1,43645.47572,43648.30138,-11088.09707,-18703.13467,38048.78952,1
1,43645.52891,43648.35266,-11087.805,-18703.76707,38048.56144,1
1,43645.58456,43648.40124,-11087.36174,-18709.37598,38045.92817,1
1,43645.64152,43648.44808,-11087.28511,-18718.91816,38041.26039,1
1,43645.69819,43648.49499,-11087.98771,-18730.45575,38035.39615,1
1,43645.75303,43648.54345,-11089.66112,-18741.78197,38029.36679,1
1,43645.80495,43648.59382,-11092.22194,-18751.02237,38024.11865,1
1,43645.85368,43648.64502,-11095.33282,-18757.0099,38020.32492,1
1,43645.89987,43648.69524,-11098.49536,-18759.36394,38018.32127,1
1,43645.94468,43648.7432,-11101.17706,-18758.34513,38018.13896,1
1,43645.98935,43648.7889,-11102.94115,-18754.60785,38019.58509,1
