timestamp,v0,v1,X,Y,Z,result
1,43650.84243,43649.82694,-39354.57065,-19064.11289,3257.207618,normal
1,43650.90499,43649.89135,-39353.08044,-19067.16976,3257.467584,normal
1,43650.96857,43649.95548,-39351.04938,-19071.70697,3255.455846,normal
1,43651.0339,43650.0202,-39348.53211,-19077.89727,3249.619721,normal
1,43651.10098,43650.08596,-39345.87094,-19085.04593,3239.996823,normal
1,43651.16909,43650.15261,-39343.56377,-19091.88221,3228.065951,normal
1,43651.23715,43650.21934,-39342.03246,-19097.15529,3216.033713,normal
1,43651.30416,43650.28528,-39341.40365,-19100.24827,3205.902992,normal
1,43651.36966,43650.35003,-39341.40403,-19101.53223,3198.703998,normal
1,43651.43397,43650.41405,-39341.43158,-19102.27797,3194.197023,normal
1,43651.49801,43650.47858,-39340.77423,-19104.15618,3191.189853,normal
1,43651.56282,43650.54528,-39338.88143,-19108.55487,3188.264338,normal
1,43651.62899,43650.61526,-39335.5653,-19116.02197,3184.588019,normal
1,43651.69645,43650.68849,-39331.04574,-19126.07028,3180.461951,normal
1,43651.76455,43650.76369,-39325.83573,-19137.41411,3177.274861,normal
1,43651.83249,43650.83873,-39320.53786,-19148.49976,3176.834674,normal
1,43651.89981,43650.91135,-39315.65232,-19158.07994,3180.338595,normal
1,43651.96658,43650.98014,-39311.47365,-19165.57133,3187.56826,normal
1,43652.03323,43651.04501,-39308.0913,-19171.07711,3196.798829,normal
1,43652.10012,43651.10713,-39305.46773,-19175.10435,3205.535774,normal
1,43652.16711,43651.16838,-39303.51618,-19178.18985,3211.757556,normal
1,43652.2335,43651.23056,-39302.1425,-19180.62311,3214.99421,normal
1,43652.2984,43651.29477,-39301.22934,-19182.41775,3216.631191,normal
1,43652.36137,43651.36105,-39300.58428,-19183.53072,3219.200311,normal
1,43652.42292,43651.42883,-39299.88327,-19184.19876,3225.077085,normal
1,43652.48452,43651.49726,-39298.67083,-19185.15329,3235.230451,normal
1,43652.54794,43651.56566,-39296.41964,-19187.59213,3248.724851,normal
1,43652.61445,43651.63368,-39292.64602,-19192.86305,3263.268319,normal
1,43652.68404,43651.70132,-39287.05478,-19201.97015,3276.457362,normal
1,43652.75534,43651.76866,-39279.65271,-19215.15554,3286.913714,normal
1,43652.82628,43651.83589,-39270.77633,-19231.77209,3294.658514,normal
1,43652.89512,43651.90314,-39261.022,-19250.51081,3300.5265,normal
1,43652.9612,43651.97053,-39251.10504,-19269.86408,3305.009711,normal
1,43653.02508,43652.03811,-39241.71099,-19288.57758,3307.302209,normal
1,43653.08802,43652.10556,-39233.39893,-19305.86162,3305.220794,normal
1,43653.15125,43652.1722,-39226.58518,-19321.28824,3296.104779,normal
1,43653.2154,43652.23737,-39221.57744,-19334.50339,3278.221628,normal
1,43653.28057,43652.30072,-39218.60427,-19344.98378,3251.931208,normal
1,43653.34653,43652.36262,-39217.79387,-19352.03496,3219.936315,normal
1,43653.41321,43652.42411,-39219.11233,-19355.03749,3186.499664,normal
1,43653.48077,43652.48646,-39222.32075,-19353.75253,3156.061341,normal
1,43653.54938,43652.55077,-39226.99682,-19348.49891,3131.869608,normal
1,43653.61897,43652.61755,-39232.63854,-19340.0708,3115.221609,normal
1,43653.68919,43652.68647,-39238.80779,-19329.44408,3105.512112,normal
1,43653.75952,43652.75681,-39245.2337,-19317.46884,3100.858542,normal
1,43653.82976,43652.82767,-39251.81995,-19304.71507,3098.950976,normal
1,43653.89999,43652.89843,-39258.5506,-19291.53405,3097.828248,normal
1,43653.9705,43652.96871,-39265.35884,-19278.2352,3096.417722,normal
1,43654.04143,43653.03836,-39272.05146,-19265.19454,3094.804738,normal
